iteration,max_L,min_L,c_exact_avg,g_exact_avg_0,g_exact_avg_1,c_avg,g_avg_0,g_avg_1,c_pi_exact,g_pi_exact_0,g_pi_exact_1,c_pi,g_pi_0,g_pi_1,lambda_0,lambda_1,c_br_exact,g_br_exact_0,g_br_exact_1,c_br,g_br_0,g_br_1
1.0,0.0,0.0,-32.920805943101875,15.472464648446454,144.40573422862073,0.0,0.0,0.0,-32.920805943101875,15.472464648446454,144.40573422862073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,-36.14632487096651,11.107604965389358,140.33555871338987,0.0,0.0,0.0,-39.37184379883114,6.742745282332263,136.26538319815901,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,-37.39948644159171,10.650734838197627,114.27024271646899,0.0,0.0,0.0,-39.90580958284211,9.736994583814166,62.13961072262717,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,-40.54182921304471,8.221298053807425,118.85756326433662,0.0,0.0,0.0,-49.9688575274037,0.9329877006368219,132.61952490793956,0.0,0.0,0.0,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,-38.99299236523537,9.00641371283876,123.96270862861975,0.0,0.0,0.0,-32.797644973998025,12.14687634896411,144.3832900857522,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,-39.21847353326527,7.743666424252513,121.96573946305047,0.0,0.0,0.0,-40.34587937341477,1.4299299813212736,111.98089363520413,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,-39.375889305839515,7.298347151221313,124.24569142549838,0.0,0.0,0.0,-40.32038394128498,4.6264315130341105,137.92540320018583,0.0,0.0,0.0,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,-40.44687690363751,6.51616425233861,127.82100007137385,0.0,0.0,0.0,-47.943790088223494,1.0408839601596873,152.84816059250218,0.0,0.0,0.0,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,-41.60761858031894,5.820945081629068,125.91202895190771,0.0,0.0,0.0,-50.89355199377044,0.25919171595273116,110.64025999617856,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,-41.96778802359108,5.241901951147516,123.22494775120194,0.0,0.0,0.0,-45.209313013040344,0.030513776813541175,99.04121694485009,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
